animals,height
4,2.64
3,2.01
0,0.0
3,1.98
1,1.38
3,2.19
1,0.93
1,1.74
2,1.02
2,1.65
2,1.11
3,2.01
0,0.0
3,1.65
5,3.63
2,1.56
0,0.0
2,1.62
1,1.11
1,1.38
0,0.0
1,0.84
1,0.9
1,0.84
4,1.56
0,0.0
3,2.37
2,1.56
8,4.35
2,2.19
2,1.56
6,2.52
1,1.11
3,1.74
6,3.72
5,2.64
5,2.37
0,0.0
2,4.08
7,4.59
5,1.98
3,1.65
1,1.2
1,0.84
1,1.56
4,2.19
3,2.64
0,0.0
0,0.0
2,1.74
1,1.11
1,0.93
5,3.09
4,1.83
0,0.0
1,1.29
0,0.0
3,1.92
0,0.0
2,2.1
2,1.65
1,1.29
5,2.73
5,2.19
4,2.01
2,2.28
9,3.54
2,2.46
2,1.47
4,2.46
2,1.53
2,1.74
1,1.2
2,1.47
4,2.37
2,1.38
0,0.0
2,1.2
6,2.37
0,0.0
