animals,height
0,0.0
1,0.93
3,3.0
2,1.38
1,1.56
4,2.55
3,2.52
2,0.93
0,0.0
2,2.01
6,2.91
0,0.0
4,3.27
1,1.11
8,3.51
0,0.0
1,0.99
9,5.7
0,0.0
2,1.38
1,1.11
0,0.0
6,2.97
4,2.91
2,1.29
1,1.65
1,1.08
2,2.55
0,0.0
1,1.56
3,2.19
3,3.0
1,0.93
6,2.97
0,0.0
0,0.0
0,0.0
9,3.69
0,0.0
1,1.92
0,0.0
0,0.0
1,1.38
3,1.83
1,1.11
1,1.11
0,0.0
3,2.37
0,0.0
0,0.0
1,1.29
8,4.86
2,1.56
2,1.26
4,1.89
2,1.89
1,1.65
0,0.0
1,0.84
0,0.0
4,2.37
9,3.81
3,1.53
1,1.65
1,1.2
4,1.89
0,0.0
2,1.29
0,0.0
1,1.11
3,2.46
3,2.46
5,2.97
3,1.62
0,0.0
0,0.0
6,3.18
6,2.73
4,2.73
3,2.91
0,0.0
0,0.0
1,1.38
1,1.38
3,1.89
1,1.38
0,0.0
0,0.0
7,3.36
1,1.11
2,1.92
1,1.2
6,3.45
2,1.89
6,3.24
1,1.98
1,1.89
3,1.62
7,2.79
1,0.84
4,3.09
4,1.62
1,0.93
5,2.46
1,1.11
0,0.0
2,1.08
0,0.0
0,0.0
5,3.9
0,0.0
0,0.0
4,1.47
11,5.04
0,0.0
1,1.29
0,0.0
0,0.0
1,1.29
1,1.11
1,1.65
1,1.11
1,1.11
0,0.0
4,2.28
2,1.56
1,1.65
3,2.07
2,2.28
3,1.35
13,4.32
0,0.0
2,1.65
1,1.38
1,1.2
11,5.4
8,2.88
1,1.2
1,0.66
1,1.38
7,3.24
3,2.64
2,1.83
1,1.2
1,1.17
2,1.2
1,1.11
1,1.11
1,1.65
1,1.02
5,2.34
0,0.0
1,1.2
3,2.1
3,1.98
5,3.09
3,2.46
3,1.08
1,1.38
1,1.08
1,1.2
3,1.62
6,3.63
1,1.38
1,1.11
5,3.18
0,0.0
2,1.17
4,3.0
4,2.34
6,3.24
4,3.0
0,0.0
7,3.27
1,1.29
0,0.0
1,1.38
1,1.11
0,0.0
1,0.84
5,3.99
5,2.7
1,1.92
0,0.0
6,3.69
2,1.29
2,2.1
1,1.11
0,0.0
4,1.56
0,0.0
1,1.56
2,2.01
2,2.19
3,2.19
4,1.8
0,0.0
0,0.0
1,1.2
2,1.11
0,0.0
3,2.64
2,1.11
4,2.28
7,4.05
0,0.0
9,3.69
4,1.44
1,1.29
1,1.11
1,1.29
0,0.0
3,2.82
2,1.11
2,1.74
1,1.2
1,1.2
1,1.2
5,2.88
1,1.11
2,1.38
3,1.74
1,1.56
1,1.56
1,1.11
1,1.92
0,0.0
3,1.35
5,2.64
2,1.62
9,3.24
3,1.89
2,2.01
3,1.92
0,0.0
8,3.42
4,2.16
10,4.32
1,1.98
4,3.09
0,0.0
0,0.0
9,3.18
3,1.65
0,0.0
3,1.44
0,0.0
2,1.38
0,0.0
3,2.25
2,1.74
0,0.0
3,1.47
0,0.0
3,1.62
2,1.11
4,3.45
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
3,1.65
0,0.0
4,3.0
0,0.0
2,1.2
2,1.2
3,1.74
0,0.0
1,0.99
2,1.74
1,1.11
2,1.2
3,2.1
4,1.98
0,0.0
8,2.91
3,1.53
1,1.29
0,0.0
0,0.0
1,1.47
1,1.65
6,2.88
0,0.0
0,0.0
2,1.17
2,1.2
2,2.01
0,0.0
3,1.35
2,1.56
1,1.2
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.11
2,1.11
6,3.6
1,1.2
8,3.51
2,1.83
2,1.2
4,1.71
1,1.2
1,1.38
5,3.6
1,1.2
5,3.27
1,1.11
3,1.74
2,1.98
4,2.88
0,0.0
2,1.56
6,3.06
3,1.98
3,2.88
4,2.97
3,1.98
1,1.38
0,0.0
1,1.11
4,2.55
2,1.56
6,2.79
2,1.11
1,1.38
2,1.11
3,2.55
6,2.88
2,1.38
2,1.2
4,2.91
0,0.0
7,3.0
2,1.29
0,0.0
5,1.65
6,3.42
1,1.38
2,1.38
0,0.0
3,2.19
3,2.55
3,1.65
10,6.21
3,1.74
5,2.07
1,0.93
1,1.02
4,3.06
4,2.1
6,4.53
1,1.2
5,2.7
6,1.89
2,1.56
0,0.0
2,2.07
0,0.0
1,1.11
0,0.0
0,0.0
2,2.46
4,3.42
2,2.07
1,1.38
1,1.17
4,3.42
2,2.55
7,4.35
3,2.7
10,5.04
3,2.91
0,0.0
5,2.52
3,2.91
6,4.8
1,1.08
6,4.53
3,2.91
2,1.74
2,2.19
1,1.26
4,2.52
4,3.15
0,0.0
7,5.04
0,0.0
2,1.35
3,2.16
0,0.0
1,1.65
2,0.9
0,0.0
4,2.25
2,3.09
7,4.08
0,0.0
3,2.97
4,1.26
2,2.1
4,2.19
7,3.24
1,1.56
0,0.0
0,0.0
2,1.92
1,1.08
2,2.19
4,4.44
0,0.0
3,2.61
1,1.11
2,1.35
1,0.84
3,2.25
3,2.01
1,1.56
0,0.0
1,1.17
5,3.42
1,0.72
0,0.0
0,0.0
3,2.73
1,1.92
2,0.93
1,1.56
1,1.11
4,2.43
0,0.0
4,5.67
3,2.61
2,1.62
0,0.0
0,0.0
1,1.56
2,1.44
7,5.67
2,2.28
0,0.0
1,0.57
1,1.92
0,0.0
3,2.19
0,0.0
1,1.29
3,2.19
2,2.64
0,0.0
2,1.83
1,1.02
1,0.57
3,3.0
1,1.47
2,1.89
0,0.0
1,1.08
0,0.0
0,0.0
4,4.08
6,2.79
0,0.0
4,1.89
6,7.05
0,0.0
2,0.9
2,1.2
0,0.0
3,3.45
1,1.11
1,1.11
1,0.84
2,2.52
3,2.37
1,0.27
1,1.2
1,1.2
3,2.64
0,0.0
1,0.57
0,0.0
4,2.7
1,1.56
12,6.84
4,3.27
2,2.43
1,1.56
4,2.43
4,4.17
5,4.71
0,0.0
1,0.57
4,2.73
4,4.59
3,3.36
3,2.64
1,1.08
4,4.71
1,1.08
0,0.0
0,0.0
4,3.72
8,3.63
4,3.06
0,0.0
1,1.2
3,3.63
0,0.0
0,0.0
3,1.98
7,3.45
1,1.56
2,1.17
1,0.84
1,0.93
3,2.46
1,1.11
7,3.54
0,0.0
4,3.06
9,6.03
1,1.38
2,2.28
1,0.84
1,1.02
6,4.23
0,0.0
1,0.63
3,4.53
2,1.29
3,1.44
1,1.47
0,0.0
2,1.11
1,1.11
1,0.84
1,1.11
6,4.8
2,0.9
0,0.0
2,1.38
0,0.0
0,0.0
4,1.92
2,1.38
2,2.16
0,0.0
3,1.26
0,0.0
1,1.08
3,2.73
1,0.57
4,2.34
2,1.47
3,3.63
1,0.93
1,0.84
2,1.71
0,0.0
1,0.81
0,0.0
2,2.28
1,1.11
2,2.19
3,1.71
1,1.11
2,2.19
4,2.64
1,0.81
1,0.57
2,1.29
1,1.11
1,1.17
0,0.0
0,0.0
3,3.27
0,0.0
1,2.46
4,2.64
1,0.57
1,1.11
2,2.1
2,1.17
9,4.68
0,0.0
6,3.24
2,1.11
