step,action
0,16
1,21
0,25
1,3
2,22
0,2
1,0
0,16
1,0
0,1
1,17
2,3
3,7
4,8
0,23
1,20
2,2
3,38
4,25
5,42
0,3
1,40
2,27
3,29
0,9
1,36
2,15
3,43
4,0
5,41
0,27
1,18
2,1
3,41
0,14
1,39
2,40
3,40
4,20
0,41
1,32
0,1
1,8
2,4
3,23
4,7
5,23
6,38
7,32
0,29
1,26
2,0
0,17
1,32
2,42
3,9
4,31
0,7
1,17
0,8
1,2
2,7
3,8
0,15
1,18
2,30
3,40
4,30
0,27
1,4
2,3
3,32
0,30
1,1
2,29
3,4
4,36
5,31
0,18
1,20
2,13
3,28
4,25
5,26
6,12
7,3
8,35
0,2
1,8
2,8
3,39
4,37
5,42
0,4
1,3
2,7
3,20
0,36
1,2
2,36
0,34
1,9
2,16
3,28
4,14
5,25
6,28
0,14
1,1
2,15
3,27
4,38
0,35
1,28
2,33
0,20
0,21
0,19
1,41
2,15
3,15
4,17
5,39
0,16
1,23
2,15
3,32
0,25
1,8
2,29
3,23
4,13
5,23
6,28
7,38
8,34
0,30
1,3
2,38
3,35
0,19
1,29
0,30
1,20
0,30
1,17
2,21
0,39
1,0
2,36
3,38
4,29
0,36
1,26
2,11
3,24
0,22
0,38
1,10
2,7
3,1
0,43
0,24
1,7
0,31
1,20
2,13
3,31
4,3
5,37
6,29
7,32
0,0
1,43
2,23
3,16
4,27
5,7
0,32
0,7
1,40
2,34
0,7
1,32
0,2
1,30
0,28
1,35
2,18
0,38
1,40
2,25
3,16
0,14
1,27
2,9
0,43
1,33
2,0
0,11
0,17
1,10
0,36
1,3
2,13
0,7
1,34
0,27
1,21
0,16
1,36
2,10
3,5
4,15
5,28
0,8
1,22
2,19
3,29
0,6
1,30
2,11
0,34
1,15
2,16
3,38
0,7
1,34
2,3
0,35
1,22
2,15
3,41
4,25
5,5
6,19
0,22
0,37
1,29
2,27
3,16
0,42
1,17
2,12
3,3
0,33
0,26
1,16
2,11
0,0
1,19
2,5
3,17
4,15
5,37
6,39
7,32
0,10
1,38
2,18
3,40
4,1
0,27
1,10
2,18
3,34
0,11
1,23
2,18
3,8
0,2
1,35
2,38
0,41
1,11
0,26
1,39
2,36
3,18
4,13
5,4
6,21
0,3
1,12
0,28
1,15
2,26
3,33
0,9
1,36
2,3
3,27
4,14
5,41
6,15
0,4
1,10
2,4
3,20
0,15
1,1
0,42
1,8
0,25
1,22
0,4
1,5
2,26
3,22
0,12
0,42
1,5
2,20
0,5
1,5
2,2
3,20
4,29
0,18
1,17
2,25
3,2
0,25
1,13
0,10
0,36
1,34
0,0
1,31
2,38
3,30
4,35
5,3
6,23
0,13
1,15
2,37
3,15
0,0
0,12
1,1
2,16
3,12
4,4
5,39
0,13
1,3
2,25
3,14
0,21
0,9
1,25
2,22
0,36
1,12
2,22
3,24
4,9
5,4
6,33
0,5
1,22
2,39
0,35
1,39
2,28
3,41
0,40
1,32
0,4
1,34
2,32
0,8
1,13
2,26
3,7
4,7
0,17
1,13
2,43
0,7
1,11
0,11
0,39
1,17
2,6
3,26
0,34
1,3
2,38
0,19
0,3
1,26
2,17
3,11
0,7
1,1
2,16
3,18
0,21
1,23
2,19
3,8
4,0
0,4
1,28
2,38
3,21
0,14
1,4
2,11
0,31
1,4
