step,action
0,28
0,23
1,9
2,9
3,38
4,28
5,28
6,37
7,26
8,28
9,16
10,38
0,23
1,9
2,9
3,9
4,37
5,37
6,37
7,38
8,16
0,23
1,9
2,28
3,30
4,27
5,16
6,29
7,16
8,37
9,16
10,16
0,23
1,9
2,28
3,16
4,27
5,16
6,38
7,16
0,23
1,9
2,24
3,38
4,26
5,27
6,28
7,37
8,28
0,23
1,9
2,27
3,38
4,26
5,39
6,37
7,38
8,16
0,23
1,9
2,9
3,9
4,16
5,28
6,28
7,38
0,9
1,23
2,9
0,9
1,6
2,28
3,28
4,28
0,9
1,23
2,23
3,9
4,38
5,16
6,6
0,23
1,9
2,28
3,26
4,26
5,16
6,26
7,15
8,16
9,38
10,16
11,16
12,28
13,37
0,9
1,23
2,38
3,6
4,38
0,9
1,23
2,9
3,38
4,39
5,16
6,16
7,26
8,43
9,28
10,26
11,16
12,28
13,16
14,16
15,14
16,16
0,23
1,9
2,9
0,23
1,9
2,9
3,29
4,9
5,16
6,16
7,28
8,5
0,15
1,9
2,23
3,38
4,16
0,23
1,9
2,28
3,5
4,16
5,16
6,16
7,28
8,28
9,38
0,23
1,9
2,38
3,38
4,26
0,23
1,23
2,9
3,16
4,27
5,38
6,38
0,23
1,9
2,9
3,37
4,27
5,28
6,16
0,23
1,9
2,28
3,16
4,16
5,28
0,23
1,9
2,9
3,30
4,16
5,38
6,28
7,26
8,28
9,28
10,37
0,23
1,9
2,30
3,27
4,30
5,16
6,16
7,16
0,23
1,9
2,9
3,39
4,39
5,16
6,28
7,29
0,23
1,23
2,9
3,29
4,39
5,28
6,16
7,38
8,37
9,27
0,23
1,9
2,24
3,15
4,28
5,16
6,16
7,38
8,16
9,16
0,23
1,23
2,9
3,9
4,38
5,28
6,15
7,39
8,38
0,23
0,23
1,9
2,30
3,28
4,6
5,26
6,26
7,16
8,16
0,23
1,23
0,23
1,9
2,1
3,9
0,23
1,23
2,9
3,28
4,15
5,16
6,38
7,28
8,27
9,16
10,8
0,23
1,9
2,15
3,15
4,23
0,23
1,9
2,28
3,27
4,38
5,16
6,16
7,38
8,16
9,16
0,23
1,37
2,9
3,18
4,16
5,15
6,39
0,23
1,15
2,9
3,23
4,28
5,12
6,16
7,39
8,27
9,26
10,16
0,23
1,9
2,38
3,38
4,16
5,39
6,38
0,23
1,23
0,23
1,9
2,28
3,33
0,23
1,9
2,9
3,9
4,28
5,26
6,38
7,16
8,16
0,23
1,9
2,38
3,28
4,14
5,38
0,23
1,26
2,9
3,28
4,16
5,37
0,23
1,9
2,1
3,28
4,28
0,23
1,9
2,14
3,29
4,16
5,39
0,23
1,23
2,9
3,9
4,16
5,16
6,16
7,30
8,26
9,5
10,16
0,23
1,9
2,30
3,28
4,28
5,23
0,23
1,9
2,23
3,16
4,23
5,16
0,23
0,30
1,23
2,23
3,16
4,23
5,16
6,28
7,16
8,16
9,15
10,37
11,28
0,23
1,9
2,9
3,16
4,5
5,16
6,16
0,38
1,9
2,37
3,29
4,16
5,38
6,16
7,16
8,39
9,6
0,23
1,9
2,16
3,28
4,16
5,38
6,37
7,23
8,28
9,38
10,14
11,16
12,16
13,28
14,28
15,16
16,39
17,16
18,16
0,23
1,9
2,26
3,30
4,16
5,27
6,16
7,28
8,16
9,38
10,16
11,28
12,5
13,28
14,16
15,22
16,16
17,16
0,23
1,9
2,9
0,23
1,9
2,28
3,28
4,16
5,16
6,16
0,23
1,23
2,23
3,9
4,38
5,37
6,16
7,16
8,16
9,16
0,23
1,9
2,23
3,29
4,16
5,28
6,38
7,28
0,24
1,9
2,9
3,27
4,30
5,30
6,28
7,28
8,5
0,23
1,9
2,30
3,30
4,18
5,16
6,16
7,39
8,26
0,23
1,23
2,9
3,9
4,9
5,28
6,28
7,16
8,30
9,27
0,23
1,9
2,16
3,29
4,16
5,16
6,4
7,4
8,38
9,28
10,16
0,23
1,23
2,9
3,28
4,16
5,16
6,37
7,24
8,16
9,38
10,16
0,23
1,9
2,30
3,30
4,30
5,39
6,16
7,5
8,27
9,43
0,23
1,23
2,9
3,16
4,16
5,27
6,16
7,28
0,23
1,9
2,30
3,16
4,16
5,16
6,16
7,16
8,16
0,23
1,9
2,9
3,38
4,16
5,38
6,38
7,37
0,38
1,23
2,9
3,30
4,16
5,38
6,30
7,38
8,23
9,38
10,28
11,16
0,38
1,38
2,23
0,23
1,9
2,18
0,23
1,23
2,9
3,28
4,16
5,37
6,39
7,28
0,23
1,28
2,16
3,30
4,16
5,38
6,4
7,38
0,23
1,26
2,9
3,28
4,30
5,38
6,16
7,28
8,38
9,16
0,23
1,38
0,23
1,9
2,30
3,38
4,16
5,26
6,16
7,16
8,16
0,23
1,9
2,28
3,30
4,37
5,5
6,16
7,27
8,16
9,27
10,38
0,23
1,9
2,30
3,4
4,16
5,16
6,16
7,38
0,24
1,9
2,26
3,38
4,15
0,9
1,23
2,15
3,30
4,16
5,16
6,16
7,16
8,16
9,38
10,28
11,39
12,38
13,26
14,26
0,23
1,9
2,16
3,38
4,28
0,23
1,9
2,15
3,28
4,28
5,28
6,16
7,27
8,38
0,23
1,30
2,26
3,28
4,28
0,23
1,23
2,9
3,16
4,16
0,23
1,9
2,15
3,16
4,16
5,39
0,23
1,9
2,23
3,38
4,16
5,16
6,38
7,28
8,27
9,33
0,23
1,9
2,29
3,28
4,16
5,16
6,16
7,16
0,23
1,9
2,16
3,28
4,16
5,38
6,30
0,23
1,26
2,9
3,16
4,28
5,38
6,38
0,23
1,9
2,30
3,30
4,16
5,6
0,24
1,30
2,28
3,16
0,23
1,9
2,28
3,26
4,28
5,16
6,28
7,16
0,23
1,9
2,15
3,15
4,39
5,6
0,23
1,30
2,30
3,4
4,16
5,28
6,30
7,16
8,27
9,30
10,16
0,23
1,9
2,16
3,28
4,16
5,16
6,16
0,9
1,16
2,16
3,16
4,29
5,16
6,27
0,23
1,38
2,28
0,23
1,9
2,30
3,14
4,38
5,28
6,16
7,16
8,23
0,23
1,9
2,16
3,29
4,16
5,16
6,16
7,28
8,28
0,23
1,38
2,38
3,38
4,16
5,38
0,23
1,9
2,28
3,27
4,16
5,16
6,37
7,28
0,23
1,30
2,30
3,28
4,16
5,37
6,30
0,23
1,15
2,26
3,26
4,28
5,16
6,43
0,23
1,9
2,30
3,28
4,28
5,16
6,16
0,9
1,30
2,39
3,38
0,1
1,23
2,9
3,30
4,16
5,16
6,28
7,26
8,27
9,16
10,16
11,38
0,23
1,9
2,30
3,16
4,26
5,38
6,28
7,9
8,27
9,37
0,23
1,30
2,16
3,28
4,27
5,16
6,38
0,23
1,9
2,30
3,16
4,16
5,16
6,16
7,37
8,28
9,38
10,38
11,16
0,23
1,23
2,9
3,28
4,28
5,16
6,30
0,23
1,23
2,9
3,30
4,5
5,28
6,28
7,16
8,30
0,23
1,23
2,30
3,9
4,16
5,28
6,16
7,16
0,23
1,23
2,27
3,30
4,38
5,39
6,28
7,16
8,16
9,16
10,38
11,16
12,26
13,15
0,23
1,23
2,9
3,38
4,16
5,16
6,38
7,26
8,16
9,16
10,28
11,38
0,23
1,23
0,23
1,9
2,15
3,28
4,28
5,28
6,28
7,9
0,23
1,9
2,16
3,30
4,16
5,15
6,26
0,23
1,9
2,30
3,16
4,16
5,27
6,16
7,30
0,23
1,9
2,28
3,38
4,16
5,16
6,38
7,16
8,38
9,30
10,28
11,23
0,23
1,9
2,30
3,30
4,26
5,16
6,28
7,28
0,23
1,9
2,28
3,16
4,16
5,16
6,28
7,28
8,38
0,23
1,23
2,28
3,38
4,16
5,16
6,16
7,23
0,23
1,15
2,23
3,30
4,9
0,23
1,23
2,9
3,16
4,16
5,27
6,27
0,23
1,38
2,23
3,5
4,16
0,23
1,9
2,30
3,16
4,16
5,16
6,38
0,23
1,9
2,15
3,27
4,38
0,23
1,9
2,23
3,16
4,16
5,28
6,38
7,38
8,16
9,13
0,23
1,23
0,23
1,9
2,30
3,28
4,16
5,16
6,16
7,38
8,30
9,30
10,28
11,16
0,23
1,9
2,28
3,5
4,38
5,38
6,38
